Polyline,BluePolyline,BluePolyline,BluePolyline,BluePolyline,GreenPolyline,GreenPolyline,GreenPolyline,GreenPolyline,GreenPolyline,GreenPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,RedPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline,YellowPolyline
VertexIdx,0,1,2,3,0,1,2,3,4,5,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,11,12
IMG_20230320_153414.JPG,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0
IMG_20230320_154334.JPG,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230320_154133.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230320_154002.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
IMG_20230320_153708.JPG,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1
IMG_20230320_151955.JPG,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IMG_20230320_154032.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230320_154353.JPG,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_20230320_152623.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_20230320_154010.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_20230320_153752.JPG,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
IMG_20230320_154025.JPG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0
